timestamp_utc,cycle_id,station_id,station_name,aq_id,lat,lon,speed_kmh,free_flow_speed_kmh,current_travel_time_s,free_flow_travel_time_s,density_cars_per_km,cars_per_hour,congestion_percent,co2_kg_per_hour,pm25_ugm3,pm10_ugm3,no2_ugm3,o3_ugm3,co_ugm3,so2_ugm3,nh3_ugm3,air_index,waqi_aqi,temperature_c,feels_like_c,humidity_percent,pressure_hpa,wind_speed_ms,wind_deg,clouds_percent,visibility_m,weather_desc,population_exposure_index,dist_to_chp_km,heating_season,downwind_of_chp,traffic_source,air_source,weather_source
2026-08-12T06:32:40+00:00,20260812T063240Z,kokkainar,Kokkainar Micro,2812651,43.29076,76.84123,37,48,2143,1652,45.83,1695.8,22.9,203.5,7.65,10.72,0.54,85.85,74.73,0.38,1.09,12.86,4,37.12,34.63,14,1006,1.68,16,98,10000,overcast clouds,9.89,2.99,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T06:32:40+00:00,20260812T063240Z,alatau,Alatau (foothill),2812620,43.17658,76.89771,38,38,994,994,0.0,0.0,0.0,0.0,9.51,13.34,0.19,80.47,70.74,0.05,0.43,13.39,4,33.04,31.22,23,1010,2.88,0,100,10000,overcast clouds,10.52,14.88,0,1,tomtom,openweathermap+waqi,openweathermap
2026-08-12T06:32:40+00:00,20260812T063240Z,school175,School 175,2812756,43.19957,76.85428,30,38,1259,993,42.11,1263.2,21.1,151.6,9.51,13.34,0.19,80.47,70.74,0.05,0.43,13.39,4,34.63,32.64,20,1009,2.52,9,100,10000,overcast clouds,11.68,11.02,0,1,tomtom,openweathermap+waqi,openweathermap
2026-08-12T06:32:40+00:00,20260812T063240Z,school77,School 77,2812751,43.21846,76.94964,45,67,1532,1029,65.67,2955.2,32.8,354.6,7.65,10.72,0.54,85.85,74.73,0.38,1.09,12.86,4,34.89,32.92,20,1009,3.05,345,100,10000,overcast clouds,10.43,14.32,0,1,tomtom,openweathermap+waqi,openweathermap
2026-08-12T06:32:40+00:00,20260812T063240Z,school137,School 137,2812563,43.31676,76.91084,21,24,491,429,25.0,525.0,12.5,63.0,7.65,10.72,0.54,85.85,74.73,0.38,1.09,12.86,4,37.56,34.97,13,1006,1.95,351,97,10000,overcast clouds,9.32,9.07,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T06:32:40+00:00,20260812T063240Z,school192,School 192,2812775,43.17203,76.85234,38,38,994,994,0.0,0.0,0.0,0.0,9.51,13.34,0.19,80.47,70.74,0.05,0.43,13.39,4,33.45,31.66,23,1010,2.76,7,100,10000,overcast clouds,10.52,13.87,0,1,tomtom,openweathermap+waqi,openweathermap
2026-08-12T06:32:40+00:00,20260812T063240Z,ippodrom,Ippodrom,3124030,43.30778,76.92324,30,40,1844,1383,50.0,1500.0,25.0,180.0,7.65,10.72,0.54,85.85,74.73,0.38,1.09,12.86,4,37.18,34.7,14,1007,2.17,349,100,10000,overcast clouds,10.01,9.8,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T06:32:40+00:00,20260812T063240Z,ekopost,EkoPost,2812576,43.24966,76.8056,46,46,259,259,0.0,0.0,0.0,0.0,7.65,10.72,0.54,85.85,74.73,0.38,1.09,12.86,4,36.46,34.17,16,1007,2.16,31,100,10000,overcast clouds,8.64,4.67,0,1,tomtom,openweathermap+waqi,openweathermap
2026-08-12T06:32:40+00:00,20260812T063240Z,kotelnikova,Kotelnikova St.,2812792,43.3104,76.94217,30,37,2393,1940,37.84,1135.1,18.9,136.2,7.65,10.72,0.54,85.85,74.73,0.38,1.09,12.86,4,37.58,35.12,14,1006,2.16,347,98,10000,overcast clouds,9.67,11.36,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T06:32:40+00:00,20260812T063240Z,hospital7,Hospital-7,2812726,43.23396,76.80013,12,51,197,46,152.94,1835.3,76.5,220.2,7.65,10.72,0.54,85.85,74.73,0.38,1.09,12.86,4,35.91,33.82,18,1008,2.34,28,100,10000,overcast clouds,12.83,6.43,0,1,tomtom,openweathermap+waqi,openweathermap
2026-08-12T06:32:40+00:00,20260812T063240Z,school187,School 187,2812690,43.18579,76.82848,33,41,736,592,39.02,1287.8,19.5,154.5,9.51,13.34,0.19,80.47,70.74,0.05,0.43,13.39,4,33.96,32.23,23,1010,2.71,14,100,10000,overcast clouds,11.59,11.94,0,1,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,chp,CHP (TETs-2 area),2812561,43.29161,76.80437,29,34,1045,891,29.41,852.9,14.7,102.4,7.8,10.83,0.57,86.64,75.01,0.43,1.09,13.01,4,38.11,35.4,12,1005,2.11,54,92,10000,overcast clouds,9.59,0.0,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,shamiyevast,Shamiyeva St.,2812649,43.28323,76.92753,35,54,1206,782,70.37,2463.0,35.2,295.6,7.8,10.83,0.57,86.64,75.01,0.43,1.09,13.01,4,37.21,34.85,15,1006,1.73,4,100,10000,overcast clouds,10.71,10.02,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,almaty_ref,Almaty (reference),8876,43.25285,76.93118,23,34,2100,1420,64.71,1488.2,32.4,178.6,7.8,10.83,0.57,86.64,75.01,0.43,1.09,13.01,4,36.48,34.32,17,1007,1.83,359,100,10000,overcast clouds,10.56,11.15,0,0,tomtom,openweathermap+waqi,openweathermap
